Source IP | Window | Packets | Decision | P(tunnel) | LR     | RF     | SVM   
----------+--------+---------+----------+-----------+--------+--------+-------
127.0.0.1 | 0      | 82      | TUNNEL   | 0.6694    | 0.9986 | 0.3411 | 0.9967
127.0.0.1 | 1      | 85      | TUNNEL   | 0.6437    | 0.9949 | 0.2944 | 0.9911
127.0.0.1 | 2      | 92      | TUNNEL   | 0.6220    | 0.9928 | 0.2528 | 0.9895
127.0.0.1 | 3      | 105     | TUNNEL   | 0.8022    | 0.9996 | 0.6046 | 1.0000
127.0.0.1 | 4      | 122     | TUNNEL   | 0.8061    | 0.9999 | 0.6122 | 1.0000
127.0.0.1 | 5      | 92      | TUNNEL   | 0.6675    | 0.9955 | 0.3394 | 0.9956
127.0.0.1 | 6      | 85      | TUNNEL   | 0.7708    | 0.9937 | 0.5471 | 0.9953
127.0.0.1 | 7      | 235     | TUNNEL   | 0.4658    | 0.9967 | 0.4014 | 0.0638
127.0.0.1 | 8      | 94      | TUNNEL   | 0.6683    | 0.9984 | 0.3572 | 0.9605
127.0.0.1 | 9      | 69      | TUNNEL   | 0.8218    | 0.9996 | 0.6438 | 1.0000
127.0.0.1 | 10     | 106     | TUNNEL   | 0.4880    | 0.9992 | 0.4445 | 0.0638
127.0.0.1 | 11     | 57      | TUNNEL   | 0.6686    | 0.9998 | 0.3372 | 1.0000
127.0.0.1 | 12     | 59      | TUNNEL   | 0.6716    | 0.9998 | 0.3433 | 1.0000
127.0.0.1 | 13     | 102     | TUNNEL   | 0.4200    | 1.0000 | 0.3287 | 0.0226
127.0.0.1 | 14     | 61      | TUNNEL   | 0.6811    | 1.0000 | 0.3622 | 1.0000
127.0.0.1 | 15     | 50      | TUNNEL   | 0.5589    | 0.9999 | 0.1555 | 0.9246
127.0.0.1 | 16     | 52      | TUNNEL   | 0.6553    | 1.0000 | 0.3383 | 0.9447
127.0.0.1 | 17     | 49      | TUNNEL   | 0.5810    | 1.0000 | 0.1799 | 0.9642
127.0.0.1 | 18     | 46      | TUNNEL   | 0.5801    | 1.0000 | 0.1783 | 0.9640
127.0.0.1 | 19     | 42      | TUNNEL   | 0.5829    | 1.0000 | 0.1816 | 0.9686
127.0.0.1 | 20     | 42      | TUNNEL   | 0.6836    | 1.0000 | 0.3672 | 1.0000
127.0.0.1 | 21     | 32      | TUNNEL   | 0.5828    | 1.0000 | 0.1816 | 0.9679
127.0.0.1 | 22     | 39      | TUNNEL   | 0.5353    | 0.9997 | 0.2386 | 0.6641
127.0.0.1 | 23     | 25      | TUNNEL   | 0.6590    | 0.9999 | 0.3289 | 0.9784
127.0.0.1 | 24     | 28      | TUNNEL   | 0.5505    | 0.9999 | 0.1394 | 0.9232
127.0.0.1 | 25     | 20      | TUNNEL   | 0.5759    | 1.0000 | 0.1666 | 0.9703
127.0.0.1 | 26     | 31      | TUNNEL   | 0.6266    | 0.9994 | 0.2556 | 0.9958
127.0.0.1 | 27     | 27      | TUNNEL   | 0.6814    | 1.0000 | 0.3628 | 1.0000
127.0.0.1 | 28     | 35      | TUNNEL   | 0.5364    | 0.9998 | 0.2994 | 0.5470
127.0.0.1 | 29     | 28      | TUNNEL   | 0.6575    | 0.9998 | 0.3150 | 1.0000
127.0.0.1 | 30     | 32      | TUNNEL   | 0.6711    | 0.9999 | 0.3422 | 1.0000
127.0.0.1 | 31     | 35      | BENIGN   | 0.3036    | 0.9700 | 0.1072 | 0.0298
127.0.0.1 | 32     | 30      | TUNNEL   | 0.6221    | 0.9966 | 0.2506 | 0.9906
127.0.0.1 | 33     | 26      | BENIGN   | 0.2959    | 0.2215 | 0.4492 | 0.0638
127.0.0.1 | 34     | 49      | TUNNEL   | 0.4172    | 0.9999 | 0.3067 | 0.0558
127.0.0.1 | 35     | 25      | TUNNEL   | 0.6658    | 0.9998 | 0.3317 | 1.0000
127.0.0.1 | 36     | 96      | TUNNEL   | 0.8243    | 1.0000 | 0.6486 | 1.0000
127.0.0.1 | 37     | 44      | TUNNEL   | 0.5833    | 1.0000 | 0.1849 | 0.9632
127.0.0.1 | 38     | 48      | TUNNEL   | 0.6020    | 1.0000 | 0.2061 | 0.9957
127.0.0.1 | 39     | 42      | TUNNEL   | 0.5865    | 1.0000 | 0.1883 | 0.9695
127.0.0.1 | 40     | 43      | TUNNEL   | 0.4696    | 1.0000 | 0.1716 | 0.5351
127.0.0.1 | 41     | 46      | TUNNEL   | 0.5841    | 1.0000 | 0.1883 | 0.9598
127.0.0.1 | 42     | 42      | TUNNEL   | 0.6872    | 1.0000 | 0.3744 | 1.0000
127.0.1.1 | 4      | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 10     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 16     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 22     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 28     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 34     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
127.0.1.1 | 40     | 1       | BENIGN   | 0.0486    | 0.0000 | 0.0653 | 0.0638
